clean_text,label
رئيس البرلمان الدولي للتسامح والسلام يدين بشده استهداف محيط محطه براكه ادان معالي الدكتور جانغرانغ سيندي ابينيتي، رئيس البرلمان الدولي للتسامح والسلام، باشد العبارات الهجوم الايراني السافر الذي استهدف مولدا كهربائيا خارج المحيط الداخلي لمحطه براكه للطاقه النوويه في منطقه الظفره بدوله الامارات، مؤكدا ان استهداف المنشات المدنيه والبنيه التحتيه الحيويه يمثل انتهاكا خطيرا للقانون الدولي وتهديدا مباشرا للامن والاستقرار الاقليمي والدولي,1
الجودو يعتمد مشاركه لاعبين ولاعبات في بطوله حصنتك يا وطن اعلن اتحاد الامارات للجودو اعتماد مشاركه لاعبين ولاعبات من ناديا في منافسات بطوله حصنتك يا وطن، والتي تقام يومي غدا السبت وبعد غد الاحد بالصاله الرياضيه في مقره ببني ياس واوضح الاتحاد ان البطوله تقام بدعم مجلس ابو ظبي الرياضي، في ختام موسمه الرياضي، وتشهد المنافسه علي وزنا، بواقع للاشبال تحت عاما، و لفئه اللاعبات تحت عاما، و للناشئين تحت عاما، و للناشئات,0
مصر تؤكد دعمها الكامل للتدابير الامنيه والقانونيه للامارات والكويت ودول الخليج لحمايه امنها ادانت مصر باشد العبارات المخططات الارهابيه والتخريبيه التي تستهدف امن واستقرار دول الخليج واخرها كل من دوله الامارات العربيه المتحده ودوله الكويت والتي تمكنت الاجهزه الامنيه الوطنيه في كلا البلدين من احباطها وتفكيك الشبكات القائمه عليها بنجاح,0
وزير الداخليه البحريني يزور جناح تسليح في معرض ايسنار زار الفريق اول ركن الشيخ راشد بن عبدالله ال خليفه، وزير الداخليه البحريني جناح مجموعه تسليح القابضه خلال مشاركتها في فعاليات المعرض الدولي للامن الوطني ودرء المخاطر ايسنار ابوظبي، واطلع علي احدث حلول وانظمه التخزين الذكي للاسلحه التي تقدمها الشركه,1
نيويورك ابوظبي تطلق نظام تشات ساين المدعوم بالذكاء الاصطناعي اطلقت جامعه نيويورك ابوظبي نظام تشات ساين الذي يسخر الذكاء الاصطناعي للترجمه الفوريه الي لغه الاشاره، وهو نظام طورته الشركه الناشئه تشات ساين المنبثقه عن الجامعه يترجم برنامج تشات ساين اللغه العربيه والانجليزيه المنطوقه الي لغه الاشاره بشكل فوري، ويدعم كل من لغه الاشاره الامريكيه ولغه الاشاره الاماراتيه، كما ان فريق العمل يقترب من اتمام العمل علي ميزه الترجمه من لغه الاشاره الي الكلام ومن النص الي لغه الاشاره وتطبيقاتها العمليه,0
الامارات للافتاء يعلن ثبوت رؤيه هلال شهر ذي الحجه والاربعاء مايو اول ايام عيد الاضحي المبارك اعلن مجلس الامارات للافتاء الشرعي، ثبوت رؤيه هلال شهر ذي الحجه لعام هـ مساء اليوم الاحد ذي القعده هـ الموافق مايو م، وذلك بعد الاطلاع علي نتائج الترائي وتقارير الرصد الوارده من المختصين والخبراء والشويفه في انحاء الدوله، عبر منظومه المراصد المعتمده التي تشرف عليها المؤسسات والمراكز المتخصصه في علوم الفضاء والفلك، وذلك بالتعاون مع شواف الختم التابع لمركز الفلك الدولي، وشواف دبي بالتعاون مع دائره الشؤون الاسلاميه والعمل الخيري بدبي، وشواف الشارقه بالتعاون مع مجمع الشارقه للفضاء والفلك,0
عبدالله بن زايد يلتقي نائب رئيس الوزراء وزير العدل البريطاني التقي سمو الشيخ عبدالله بن زايد ال نهيان، نائب رئيس مجلس الوزراء وزير الخارجيه، معالي ديفيد لامي، نائب رئيس الوزراء وزير العدل البريطاني وجري خلال اللقاء، الذي عقد ضمن زياره عمل يقوم بها سموه الي لندن، بحث تطورات الاوضاع في المنطقه وتداعيات الاعتداءات الايرانيه الارهابيه الغادره التي استهدفت مواقع ومنشات,1
صندوق ابوظبي للتنميه مشاريع تنمويه تسهم في تحسين حياه اكثر من مليون اسره حول العالم استعرض صندوق ابوظبي للتنميه عددا من مشاريعه التنمويه واسهامها في تحسين حياه اكثر من مليون اسره في مختلف الدول الناميه حول العالم في اطار التزامه المستمر بدعم التنميه الاجتماعيه والاقتصاديه المستدامه وتعزيز المجتمعات من خلال استثمارات استراتيجيه ذات اثر ملموس ويمتد نشاط الصندوق التنمويه ليشمل مختلف القارات ومنها اسيا وافريقيا، حيث يحقق اثرا واسع النطاق من خلال استثمارات تعزز البنيه التحتيه، وتوسع نطاق الوصول الي الخدمات الاساسيه، وتوفر فرصا اقتصاديه طويله الامد للمجتمعات,0
الهويه وشؤون الاجانب دبي تطور منظومه دعم قرار قائمه علي الحوكمه والذكاء الاصطناعي انجزت الاداره العامه للهويه وشؤون الاجانب بدبي تطوير منظومه متقدمه لدعم القرار المؤسسي تعتمد علي تحليل البيانات والذكاء الاصطناعي، بهدف تسريع اتخاذ القرار ورفع كفاءه العمليات وتعزيز جوده الخدمات الحكوميه، وذلك ضمن توجهاتها الاستراتيجيه لتعزيز الجاهزيه المؤسسيه واستدامه التميز الحكومي جاء تطوير المنظومه عقب مراجعه مؤسسيه شامله شملت تقييم الجاهزيه التشغيليه والحوكمه وتحليل البيانات، الي جانب تحليل المؤشرات التشغيليه والاستراتيجيه وتقييم المخاطر وقياس الاثر المؤسسي، بما اسهم في تحديد اولويات التطوير والتحسين واطلاق حلول تدعم التكامل بين القطاعات وتعزز مرونه الاعمال واستدامه الاداء الحكومي,1
دبي تواصل استقطاب الابتكار العالمي مع اطلاق مركز بحث وتطوير جديد بجامعه بليخانوف انطلقت امس فعاليات الدوره الثانيه من اسبوع الابتكار ، الذي تنظمه جامعه بليخانوف الروسيه للاقتصاد في حرمها بمجمع دبي للمعرفه، بمشاركه ممثلين عن مؤسسات اكاديميه وحكوميه ودبلوماسيه، في خطوه تعكس مكانه دبي المتناميه مركزا عالميا للابتكار والتعليم العالي والبحث العلمي,1
الفا سبورت تستعرض حلولا متطوره لتعزيز حمايه المركبات المدرعه خلال ايسنار استعرضت شركه الفا سبورت للتجاره العامه ، المتخصصه في توريد قطع الغيار والاكسسوارات المتقدمه للمركبات المدرعه، خلال مشاركتها في فعاليات المعرض الدولي للامن الوطني ودرء المخاطر ايسنار ، احدث حلولها الابتكاريه وتقنياتها المتطوره الموجهه لقطاع الاليات المصفحه والعسكريه، بما يعزز مستويات الحمايه الذاتيه والكفاءه التشغيليه للمركبات المستخدمه في المهام الامنيه والعسكريه الحرجه,0
حمدان بن زايد يوجه باطلاق اسم الشبهانه علي مشروع السلع في منطقه الظفره وجه سمو الشيخ حمدان بن زايد ال نهيان، ممثل الحاكم في منطقه الظفره، باطلاق اسم الشبهانه علي مشروع السلع السكني في منطقه الظفره، تيمنا بشجره الشبهانه المعروفه باعتبارها من الاشجار المعمره التي ترمز الي الاصاله والصمود والارتباط العميق بتراث دوله الامارات وطبيعتها يجسد المشروع رؤيه القياده الرشيده في تطوير مجتمعات,0
